# M,optimal
1.720860430215107595e+00,7.597134504987325343e+00
1.730865432716358177e+00,7.594794621427137571e+00
1.740870435217608758e+00,7.592457436394321135e+00
1.750875437718859340e+00,7.590123177477401839e+00
1.760880440220109922e+00,7.587792070659824084e+00
1.770885442721360725e+00,7.585464340072756606e+00
1.780890445222611307e+00,7.583140207619363693e+00
1.790895447723861889e+00,7.580819893819889188e+00
1.800900450225112470e+00,7.578503617542777349e+00
1.810905452726363052e+00,7.576191595890274577e+00
1.820910455227613856e+00,7.573884043263435117e+00
1.830915457728864437e+00,7.571581173209211535e+00
1.840920460230115019e+00,7.569283197263983354e+00
1.850925462731365601e+00,7.566990325068350565e+00
1.860930465232616182e+00,7.564702763862785062e+00
1.870935467733866986e+00,7.562420719558199167e+00
1.880940470235117568e+00,7.560144396301848424e+00
1.890945472736368149e+00,7.557873996417783680e+00
1.900950475237618731e+00,7.555609720386978978e+00
1.910955477738869313e+00,7.553351766827498537e+00
1.920960480240120116e+00,7.551100332406593729e+00
1.930965482741370698e+00,7.548855611691672962e+00
1.940970485242621280e+00,7.546617797417250806e+00
1.950975487743871861e+00,7.544387080351361519e+00
1.960980490245122443e+00,7.542163649262912273e+00
1.970985492746373025e+00,7.539947690899182042e+00
1.980990495247623828e+00,7.537739389963334702e+00
1.990995497748874410e+00,7.535538929490747329e+00
2.001000500250125214e+00,7.533346491553987612e+00
2.011005502751375573e+00,7.531162255599883615e+00
2.021010505252626377e+00,7.528986399085114023e+00
2.031015507753876737e+00,7.526819097525785374e+00
2.041020510255127540e+00,7.524660524491280533e+00
2.051025512756378344e+00,7.522510851598100956e+00
2.061030515257628704e+00,7.520370248581306427e+00
2.071035517758879507e+00,7.518238883424292140e+00
2.081040520260129867e+00,7.516116922040519732e+00
2.091045522761380671e+00,7.514004528393636306e+00
2.101050525262631474e+00,7.511901864504469728e+00
2.111055527763881834e+00,7.509809090447808977e+00
2.121060530265132638e+00,7.507726364349143644e+00
2.131065532766382997e+00,7.505653842434964140e+00
2.141070535267633801e+00,7.503591679119585578e+00
2.151075537768884161e+00,7.501540026791039040e+00
2.161080540270134964e+00,7.499499035893745003e+00
2.171085542771385768e+00,7.497468854933679872e+00
2.181090545272636128e+00,7.495449630476878511e+00
2.191095547773886931e+00,7.493441507147885261e+00
