# x, F, dF, ddF, Fline, m, f, df, ddf, fline
5.5678,0.6274,-1.0000,0.0000,-4.1356,6.9597,0.6274,-0.8000,0.0000,-4.1356
5.5728,0.6224,-1.0000,0.0000,-4.1456,6.9660,0.6224,-0.8000,0.0000,-4.1456
5.5778,0.6174,-1.0000,0.0000,-4.1556,6.9722,0.6174,-0.8000,0.0000,-4.1556
5.5828,0.6124,-1.0000,0.0000,-4.1656,6.9785,0.6124,-0.8000,0.0000,-4.1656
5.5878,0.6074,-1.0000,0.0000,-4.1756,6.9847,0.6074,-0.8000,0.0000,-4.1756
5.5928,0.6024,-1.0000,0.0000,-4.1856,6.9910,0.6024,-0.8000,0.0000,-4.1856
5.5978,0.5974,-1.0000,0.0000,-4.1956,6.9972,0.5974,-0.8000,0.0000,-4.1956
5.6028,0.5924,-1.0000,0.0000,-4.2056,7.0035,0.5924,-0.8000,0.0000,-4.2056
5.6078,0.5874,-1.0000,0.0000,-4.2156,7.0098,0.5874,-0.8000,0.0000,-4.2156
5.6128,0.5823,-1.0000,0.0000,-4.2256,7.0160,0.5823,-0.8000,0.0000,-4.2256
5.6178,0.5773,-1.0000,0.0000,-4.2356,7.0223,0.5773,-0.8000,0.0000,-4.2356
5.6228,0.5723,-1.0000,0.0000,-4.2456,7.0285,0.5723,-0.8000,0.0000,-4.2456
5.6278,0.5673,-1.0000,0.0000,-4.2556,7.0348,0.5673,-0.8000,0.0000,-4.2556
5.6328,0.5623,-1.0000,0.0000,-4.2656,7.0410,0.5623,-0.8000,0.0000,-4.2656
5.6378,0.5573,-1.0000,0.0000,-4.2756,7.0473,0.5573,-0.8000,0.0000,-4.2756
5.6428,0.5523,-1.0000,0.0000,-4.2856,7.0535,0.5523,-0.8000,0.0000,-4.2856
5.6478,0.5473,-1.0000,0.0000,-4.2956,7.0598,0.5473,-0.8000,0.0000,-4.2956
5.6528,0.5423,-1.0000,0.0000,-4.3057,7.0660,0.5423,-0.8000,0.0000,-4.3057
5.6578,0.5373,-1.0000,0.0000,-4.3157,7.0723,0.5373,-0.8000,0.0000,-4.3157
5.6628,0.5323,-1.0000,0.0000,-4.3257,7.0785,0.5323,-0.8000,0.0000,-4.3257
5.6678,0.5273,-1.0000,0.0000,-4.3357,7.0848,0.5273,-0.8000,0.0000,-4.3357
5.6728,0.5223,-1.0000,0.0000,-4.3457,7.0910,0.5223,-0.8000,0.0000,-4.3457
5.6778,0.5173,-1.0000,0.0000,-4.3557,7.0973,0.5173,-0.8000,0.0000,-4.3557
5.6828,0.5123,-1.0000,0.0000,-4.3657,7.1036,0.5123,-0.8000,0.0000,-4.3657
5.6878,0.5073,-1.0000,0.0000,-4.3757,7.1098,0.5073,-0.8000,0.0000,-4.3757
5.6928,0.5023,-1.0000,0.0000,-4.3857,7.1161,0.5023,-0.8000,0.0000,-4.3857
5.6978,0.4973,-1.0000,0.0000,-4.3957,7.1223,0.4973,-0.8000,0.0000,-4.3957
5.7029,0.4923,-1.0000,0.0000,-4.4057,7.1286,0.4923,-0.8000,0.0000,-4.4057
5.7079,0.4873,-1.0000,0.0000,-4.4157,7.1348,0.4873,-0.8000,0.0000,-4.4157
5.7129,0.4823,-1.0000,0.0000,-4.4257,7.1411,0.4823,-0.8000,0.0000,-4.4257
5.7179,0.4773,-1.0000,0.0000,-4.4357,7.1473,0.4773,-0.8000,0.0000,-4.4357
5.7229,0.4723,-1.0000,0.0000,-4.4457,7.1536,0.4723,-0.8000,0.0000,-4.4457
5.7279,0.4673,-1.0000,0.0000,-4.4557,7.1598,0.4673,-0.8000,0.0000,-4.4557
5.7329,0.4623,-1.0000,0.0000,-4.4657,7.1661,0.4623,-0.8000,0.0000,-4.4657
5.7379,0.4573,-1.0000,0.0000,-4.4757,7.1723,0.4573,-0.8000,0.0000,-4.4757
5.7429,0.4523,-1.0000,0.0000,-4.4857,7.1786,0.4523,-0.8000,0.0000,-4.4857
5.7479,0.4473,-1.0000,0.0000,-4.4957,7.1848,0.4473,-0.8000,0.0000,-4.4957
5.7529,0.4423,-1.0000,0.0000,-4.5058,7.1911,0.4423,-0.8000,0.0000,-4.5058
5.7579,0.4373,-1.0000,0.0000,-4.5158,7.1973,0.4373,-0.8000,0.0000,-4.5158
5.7629,0.4323,-1.0000,0.0000,-4.5258,7.2036,0.4323,-0.8000,0.0000,-4.5258
5.7679,0.4273,-1.0000,0.0000,-4.5358,7.2099,0.4273,-0.8000,0.0000,-4.5358
5.7729,0.4223,-1.0000,0.0000,-4.5458,7.2161,0.4223,-0.8000,0.0000,-4.5458
5.7779,0.4173,-1.0000,0.0000,-4.5558,7.2224,0.4173,-0.8000,0.0000,-4.5558
5.7829,0.4123,-1.0000,0.0000,-4.5658,7.2286,0.4123,-0.8000,0.0000,-4.5658
5.7879,0.4073,-1.0000,0.0000,-4.5758,7.2349,0.4073,-0.8000,0.0000,-4.5758
5.7929,0.4023,-1.0000,0.0000,-4.5858,7.2411,0.4023,-0.8000,0.0000,-4.5858
5.7979,0.3973,-1.0000,0.0000,-4.5958,7.2474,0.3973,-0.8000,0.0000,-4.5958
5.8029,0.3923,-1.0000,0.0000,-4.6058,7.2536,0.3923,-0.8000,0.0000,-4.6058
5.8079,0.3873,-1.0000,0.0000,-4.6158,7.2599,0.3873,-0.8000,0.0000,-4.6158
5.8129,0.3822,-1.0000,0.0000,-4.6258,7.2661,0.3822,-0.8000,0.0000,-4.6258
5.8179,0.3772,-1.0000,0.0000,-4.6358,7.2724,0.3772,-0.8000,0.0000,-4.6358
