# M,optimal
2.111055527763881834e+00,3.478169305738987305e-01
2.121060530265132638e+00,3.464232868605300886e-01
2.131065532766382997e+00,3.450483289788899843e-01
2.141070535267633801e+00,3.436919260255590358e-01
2.151075537768884161e+00,3.423539470991222577e-01
2.161080540270134964e+00,3.410342613131986944e-01
2.171085542771385768e+00,3.397327378093583650e-01
2.181090545272636128e+00,3.384492457699243562e-01
2.191095547773886931e+00,3.371836544306587302e-01
2.201100550275137291e+00,3.359358330933321368e-01
2.211105552776388095e+00,3.347056511381736321e-01
2.221110555277638898e+00,3.334929780362022589e-01
2.231115557778889258e+00,3.322976833614367242e-01
2.241120560280140062e+00,3.311196368029835635e-01
2.251125562781390421e+00,3.299587081770025687e-01
2.261130565282641225e+00,3.288147674385474284e-01
2.271135567783892029e+00,3.276876846932821885e-01
2.281140570285142388e+00,3.265773302090707042e-01
2.291145572786393192e+00,3.254835744274394149e-01
2.301150575287643552e+00,3.244062879749126660e-01
2.311155577788894355e+00,3.233453416742184117e-01
2.321160580290145159e+00,3.223006065553648547e-01
2.331165582791395519e+00,3.212719538665864127e-01
2.341170585292646322e+00,3.202592550851581232e-01
2.351175587793896682e+00,3.192623819280791531e-01
2.361180590295147486e+00,3.182812063626224153e-01
2.371185592796398289e+00,3.173156006167516807e-01
2.381190595297648649e+00,3.163654371894046302e-01
2.391195597798899453e+00,3.154305888606411257e-01
2.401200600300149812e+00,3.145109287016569222e-01
2.411205602801400616e+00,3.136063300846611002e-01
2.421210605302651420e+00,3.127166666926183280e-01
2.431215607803901779e+00,3.118418125288538456e-01
2.441220610305152583e+00,3.109816419265219456e-01
2.451225612806402943e+00,3.101360295579369541e-01
2.461230615307653746e+00,3.093048504437667656e-01
2.471235617808904550e+00,3.084879799620882102e-01
2.481240620310154910e+00,3.076852938573044760e-01
2.491245622811405713e+00,3.068966682489235875e-01
2.501250625312656073e+00,3.061219796401986604e-01
2.511255627813906877e+00,3.053611049266289346e-01
2.521260630315157680e+00,3.046139214043220300e-01
2.531265632816408040e+00,3.038803067782169243e-01
2.541270635317658844e+00,3.031601391701675974e-01
2.551275637818909203e+00,3.024532971268876769e-01
2.561280640320160007e+00,3.017596596277554721e-01
2.571285642821410811e+00,3.010791060924799534e-01
2.581290645322661170e+00,3.004115163886272866e-01
2.591295647823911974e+00,2.997567708390082020e-01
2.601300650325162334e+00,2.991147502289265292e-01
2.611305652826413137e+00,2.984853358132882883e-01
2.621310655327663941e+00,2.978684093235722807e-01
2.631315657828914301e+00,2.972638529746621794e-01
2.641320660330165104e+00,2.966715494715397861e-01
2.651325662831415464e+00,2.960913820158405652e-01
2.661330665332666268e+00,2.955232343122707883e-01
2.671335667833917071e+00,2.949669905748876220e-01
2.681340670335167431e+00,2.944225355332416583e-01
2.691345672836418235e+00,2.938897544383822780e-01
2.701350675337668594e+00,2.933685330687270110e-01
2.711355677838919398e+00,2.928587577357940619e-01
2.721360680340170202e+00,2.923603152897999991e-01
2.731365682841420561e+00,2.918730931251212746e-01
2.741370685342671365e+00,2.913969791856214075e-01
2.751375687843921725e+00,2.909318619698441077e-01
2.761380690345172528e+00,2.904776305360718958e-01
2.771385692846423332e+00,2.900341745072523847e-01
2.781390695347673692e+00,2.896013840757913904e-01
2.791395697848924495e+00,2.891791500082139810e-01
2.801400700350174855e+00,2.887673636496945195e-01
2.811405702851425659e+00,2.883659169284553681e-01
2.821410705352676462e+00,2.879747023600360278e-01
2.831415707853926822e+00,2.875936130514324396e-01
2.841420710355177626e+00,2.872225427051076641e-01
2.851425712856427985e+00,2.868613856228746650e-01
2.861430715357678789e+00,2.865100367096516942e-01
2.871435717858929593e+00,2.861683914770913884e-01
2.881440720360179952e+00,2.858363460470836337e-01
2.891445722861430756e+00,2.855137971551343634e-01
2.901450725362681116e+00,2.852006421536192327e-01
2.911455727863931919e+00,2.848967790149150026e-01
2.921460730365182723e+00,2.846021063344079116e-01
2.931465732866433083e+00,2.843165233333806441e-01
2.941470735367683886e+00,2.840399298617787283e-01
2.951475737868934246e+00,2.837722264008573636e-01
2.961480740370185050e+00,2.835133140657088990e-01
2.971485742871435853e+00,2.832630946076729050e-01
2.981490745372686213e+00,2.830214704166293394e-01
2.991495747873937017e+00,2.827883445231753057e-01
3.001500750375187376e+00,2.825636206006872375e-01
3.011505752876438180e+00,2.823472029672688399e-01
3.021510755377688540e+00,2.821389965875862327e-01
3.031515757878939343e+00,2.819389070745909054e-01
3.041520760380190147e+00,2.817468406911319834e-01
3.051525762881440507e+00,2.815627043514583594e-01
3.061530765382691310e+00,2.813864056226119126e-01
3.071535767883941670e+00,2.812178527257134242e-01
3.081540770385192474e+00,2.810569545371413014e-01
3.091545772886443277e+00,2.809036205896046634e-01
3.101550775387693637e+00,2.807577610731124551e-01
3.111555777888944441e+00,2.806192868358383663e-01
3.121560780390194800e+00,2.804881093848842211e-01
3.131565782891445604e+00,2.803641408869415597e-01
3.141570785392696408e+00,2.802472941688534669e-01
3.151575787893946767e+00,2.801374827180775906e-01
3.161580790395197571e+00,2.800346206830509610e-01
3.171585792896447931e+00,2.799386228734588311e-01
3.181590795397698734e+00,2.798494047604075941e-01
3.191595797898949538e+00,2.797668824765034978e-01
3.201600800400199898e+00,2.796909728158384345e-01
3.211605802901450701e+00,2.796215932338834698e-01
3.221610805402701061e+00,2.795586618472921669e-01
3.231615807903951865e+00,2.795020974336137054e-01
3.241620810405202668e+00,2.794518194309181802e-01
3.251625812906453028e+00,2.794077479373344164e-01
3.261630815407703832e+00,2.793698037105019627e-01
3.271635817908954191e+00,2.793379081669381536e-01
3.281640820410204995e+00,2.793119833813218489e-01
3.291645822911455799e+00,2.792919520856948501e-01
3.301650825412706158e+00,2.792777376685817159e-01
3.311655827913956962e+00,2.792692641740304182e-01
3.321660830415207322e+00,2.792664563005733958e-01
